n.evals.q.1.0.	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.min	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.avg.power.max
9.900e+03	3.086e+00	2.424e+00	3.296e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
1.000e+04	3.086e+00	2.424e+00	3.296e+00	1.778e+00	1.525e+00	2.024e+00	1.024e+00	9.291e-01	1.255e+00
1.010e+04	3.086e+00	2.424e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.020e+04	3.086e+00	2.424e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.030e+04	3.086e+00	2.424e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.040e+04	3.086e+00	2.424e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.050e+04	3.005e+00	2.424e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	9.965e-01	8.802e-01	1.255e+00
1.060e+04	3.005e+00	2.424e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	9.965e-01	8.802e-01	1.255e+00
1.070e+04	3.005e+00	2.424e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	9.965e-01	8.802e-01	1.255e+00
1.080e+04	3.000e+00	2.311e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	9.965e-01	8.802e-01	1.255e+00
1.090e+04	3.000e+00	2.311e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	9.965e-01	8.802e-01	1.255e+00
1.100e+04	3.000e+00	2.311e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
1.110e+04	3.000e+00	2.311e+00	3.296e+00	1.793e+00	1.545e+00	2.153e+00	1.024e+00	9.291e-01	1.255e+00
