quality.first.agent.velocity.x	progress.rate.q.0.05.0.00.firsts.quality.first.agent.avg.power	progress.rate.q.0.05.0.00.firsts.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.00.firsts.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.00.mids.quality.first.agent.avg.power	progress.rate.q.0.05.0.00.mids.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.00.mids.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.00.lasts.quality.first.agent.avg.power	progress.rate.q.0.05.0.00.lasts.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.00.lasts.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.10.firsts.quality.first.agent.avg.power	progress.rate.q.0.05.0.10.firsts.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.10.firsts.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.10.mids.quality.first.agent.avg.power	progress.rate.q.0.05.0.10.mids.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.10.mids.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.10.lasts.quality.first.agent.avg.power	progress.rate.q.0.05.0.10.lasts.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.10.lasts.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.25.firsts.quality.first.agent.avg.power	progress.rate.q.0.05.0.25.firsts.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.25.firsts.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.25.mids.quality.first.agent.avg.power	progress.rate.q.0.05.0.25.mids.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.25.mids.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.25.lasts.quality.first.agent.avg.power	progress.rate.q.0.05.0.25.lasts.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.25.lasts.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.50.firsts.quality.first.agent.avg.power	progress.rate.q.0.05.0.50.firsts.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.50.firsts.quality.first.agent.avg.power.max	progress.rate.q.0.05.0.50.lasts.quality.first.agent.avg.power	progress.rate.q.0.05.0.50.lasts.quality.first.agent.avg.power.min	progress.rate.q.0.05.0.50.lasts.quality.first.agent.avg.power.max	progress.rate.q.0.05.1.00.firsts.quality.first.agent.avg.power	progress.rate.q.0.05.1.00.firsts.quality.first.agent.avg.power.min	progress.rate.q.0.05.1.00.firsts.quality.first.agent.avg.power.max	progress.rate.q.0.05.1.00.lasts.quality.first.agent.avg.power	progress.rate.q.0.05.1.00.lasts.quality.first.agent.avg.power.min	progress.rate.q.0.05.1.00.lasts.quality.first.agent.avg.power.max
5.185e-02	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.184e-01	2.184e-01	2.184e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.184e-01	2.184e-01	2.184e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6.153e-02	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.185e-01	2.185e-01	2.185e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.185e-01	2.185e-01	2.185e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.299e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.345e-01	3.345e-01	3.345e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.345e-01	3.345e-01	3.345e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2.012e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.164e-01	4.164e-01	4.164e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2.345e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.366e-01	4.366e-01	4.366e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.366e-01	4.366e-01	4.366e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2.553e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.767e-01	4.767e-01	4.767e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.767e-01	4.767e-01	4.767e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.432e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.489e-01	6.489e-01	6.489e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.489e-01	6.489e-01	6.489e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.475e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.757e-01	6.757e-01	6.757e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.757e-01	6.757e-01	6.757e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3.750e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.207e-01	7.207e-01	7.207e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.207e-01	7.207e-01	7.207e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5.767e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.282e-01	7.282e-01	7.282e-01	nan	nan	nan	nan	nan	nan	7.282e-01	7.282e-01	7.282e-01	nan	nan	nan	nan	nan	nan	7.282e-01	7.282e-01	7.282e-01	7.282e-01	7.282e-01	7.282e-01	7.282e-01	7.282e-01	7.282e-01	nan	nan	nan
6.016e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.111e+00	1.111e+00	1.111e+00	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.111e+00	1.111e+00	1.111e+00	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7.389e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.224e+00	1.224e+00	1.224e+00	nan	nan	nan	nan	nan	nan	1.224e+00	1.224e+00	1.224e+00	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8.471e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.187e+00	2.187e+00	2.187e+00	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.187e+00	2.187e+00	2.187e+00	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.697e-11	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.000e+00	0.000e+00	0.000e+00	nan	nan	nan	nan	nan	nan	0.000e+00	0.000e+00	0.000e+00	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7.774e-05	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.308e-01	1.308e-01	1.308e-01	nan	nan	nan	nan	nan	nan	1.308e-01	1.308e-01	1.308e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.536e-04	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.657e-01	1.657e-01	1.657e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
