n.evals.q.1.0.	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.min	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.max	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.min	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.max	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.min	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.max
6.700e+03	9.776e-01	8.936e-01	1.094e+00	1.029e+00	9.215e-01	1.154e+00	6.707e-01	6.401e-01	7.554e-01
6.800e+03	9.776e-01	8.936e-01	1.094e+00	1.029e+00	9.215e-01	1.154e+00	6.707e-01	6.401e-01	7.554e-01
6.900e+03	9.776e-01	8.943e-01	1.094e+00	1.046e+00	9.580e-01	1.175e+00	6.707e-01	6.401e-01	7.554e-01
7.000e+03	9.776e-01	8.943e-01	1.094e+00	1.046e+00	9.580e-01	1.175e+00	6.707e-01	6.401e-01	7.554e-01
7.100e+03	9.776e-01	8.943e-01	1.094e+00	1.046e+00	9.580e-01	1.175e+00	6.789e-01	6.401e-01	7.554e-01
7.200e+03	9.776e-01	8.943e-01	1.094e+00	1.046e+00	9.580e-01	1.175e+00	6.789e-01	6.401e-01	7.554e-01
7.300e+03	9.830e-01	9.034e-01	1.121e+00	1.073e+00	9.580e-01	1.175e+00	6.789e-01	6.401e-01	7.554e-01
7.400e+03	9.830e-01	9.034e-01	1.121e+00	1.073e+00	9.580e-01	1.175e+00	6.789e-01	6.401e-01	7.554e-01
7.500e+03	9.830e-01	9.034e-01	1.121e+00	1.107e+00	9.620e-01	1.175e+00	6.789e-01	6.401e-01	7.554e-01
7.600e+03	9.830e-01	9.034e-01	1.121e+00	1.107e+00	9.620e-01	1.175e+00	6.789e-01	6.401e-01	7.554e-01
7.700e+03	9.830e-01	9.282e-01	1.121e+00	1.113e+00	9.620e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
7.800e+03	9.830e-01	9.282e-01	1.121e+00	1.121e+00	9.620e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
7.900e+03	9.830e-01	9.282e-01	1.121e+00	1.121e+00	9.620e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.000e+03	9.830e-01	9.282e-01	1.121e+00	1.121e+00	9.620e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.100e+03	9.830e-01	9.282e-01	1.121e+00	1.121e+00	9.620e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.200e+03	9.830e-01	9.282e-01	1.121e+00	1.121e+00	9.620e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.300e+03	9.830e-01	9.282e-01	1.121e+00	1.121e+00	9.620e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.400e+03	9.830e-01	9.282e-01	1.121e+00	1.126e+00	9.835e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.500e+03	9.830e-01	9.282e-01	1.121e+00	1.126e+00	9.835e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.600e+03	9.830e-01	9.282e-01	1.121e+00	1.126e+00	9.835e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.700e+03	9.830e-01	9.282e-01	1.121e+00	1.126e+00	9.835e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.800e+03	9.830e-01	9.282e-01	1.121e+00	1.126e+00	9.835e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
8.900e+03	9.830e-01	9.282e-01	1.121e+00	1.126e+00	9.835e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
9.000e+03	9.830e-01	9.282e-01	1.121e+00	1.126e+00	9.835e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
9.100e+03	9.857e-01	9.282e-01	1.137e+00	1.126e+00	9.835e-01	1.199e+00	6.789e-01	6.401e-01	7.554e-01
9.200e+03	9.857e-01	9.282e-01	1.137e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
9.300e+03	9.857e-01	9.282e-01	1.137e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
9.400e+03	9.857e-01	9.282e-01	1.137e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
9.500e+03	9.857e-01	9.282e-01	1.145e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
9.600e+03	9.857e-01	9.282e-01	1.145e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
9.700e+03	9.857e-01	9.282e-01	1.145e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
9.800e+03	9.857e-01	9.282e-01	1.145e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
9.900e+03	9.906e-01	9.282e-01	1.161e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.000e+04	9.906e-01	9.282e-01	1.161e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.010e+04	9.906e-01	9.282e-01	1.161e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.020e+04	9.906e-01	9.282e-01	1.161e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.030e+04	9.906e-01	9.282e-01	1.161e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.040e+04	9.906e-01	9.282e-01	1.161e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.050e+04	9.906e-01	9.282e-01	1.203e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.060e+04	9.906e-01	9.282e-01	1.203e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.070e+04	1.028e+00	9.369e-01	1.203e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.080e+04	1.031e+00	9.428e-01	1.217e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.090e+04	1.031e+00	9.428e-01	1.217e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.401e-01	7.554e-01
1.100e+04	1.031e+00	9.428e-01	1.217e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.426e-01	7.554e-01
1.110e+04	1.031e+00	9.428e-01	1.217e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.426e-01	7.554e-01
1.120e+04	1.031e+00	9.428e-01	1.217e+00	1.131e+00	9.901e-01	1.264e+00	6.941e-01	6.426e-01	7.554e-01
1.130e+04	1.031e+00	9.428e-01	1.217e+00	1.169e+00	1.015e+00	1.391e+00	6.941e-01	6.426e-01	7.554e-01
1.140e+04	1.031e+00	9.428e-01	1.217e+00	1.169e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.150e+04	1.031e+00	9.428e-01	1.217e+00	1.175e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.160e+04	1.031e+00	9.428e-01	1.217e+00	1.175e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.170e+04	1.031e+00	9.428e-01	1.217e+00	1.175e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.180e+04	1.031e+00	9.428e-01	1.217e+00	1.175e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.190e+04	1.094e+00	9.428e-01	1.217e+00	1.175e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.200e+04	1.094e+00	9.579e-01	1.217e+00	1.175e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.210e+04	1.094e+00	9.579e-01	1.217e+00	1.175e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.220e+04	1.094e+00	9.579e-01	1.217e+00	1.175e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.230e+04	1.094e+00	9.579e-01	1.217e+00	1.191e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.240e+04	1.094e+00	9.579e-01	1.217e+00	1.194e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.250e+04	1.094e+00	9.579e-01	1.217e+00	1.194e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.260e+04	1.094e+00	9.579e-01	1.217e+00	1.194e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.270e+04	1.094e+00	9.579e-01	1.217e+00	1.194e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.280e+04	1.094e+00	9.579e-01	1.217e+00	1.194e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.290e+04	1.117e+00	9.621e-01	1.226e+00	1.194e+00	1.015e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.300e+04	1.117e+00	9.621e-01	1.226e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.310e+04	1.117e+00	9.621e-01	1.226e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.320e+04	1.117e+00	9.678e-01	1.226e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.330e+04	1.117e+00	9.678e-01	1.226e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.340e+04	1.117e+00	9.678e-01	1.226e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.350e+04	1.117e+00	9.678e-01	1.226e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.360e+04	1.117e+00	9.678e-01	1.226e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.370e+04	1.117e+00	9.678e-01	1.226e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.380e+04	1.117e+00	9.678e-01	1.332e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.426e-01	7.554e-01
1.390e+04	1.117e+00	9.678e-01	1.332e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.541e-01	7.554e-01
1.400e+04	1.117e+00	9.678e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.541e-01	7.554e-01
1.410e+04	1.117e+00	9.678e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.541e-01	7.554e-01
1.420e+04	1.117e+00	9.678e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.541e-01	7.554e-01
1.430e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.541e-01	7.554e-01
1.440e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.541e-01	7.554e-01
1.450e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.460e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.470e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.480e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.490e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.500e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.510e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.520e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.530e+04	1.117e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.540e+04	1.121e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.941e-01	6.571e-01	7.554e-01
1.550e+04	1.121e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.560e+04	1.121e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.570e+04	1.121e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.580e+04	1.121e+00	9.764e-01	1.343e+00	1.194e+00	1.029e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.590e+04	1.121e+00	9.764e-01	1.343e+00	1.194e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.600e+04	1.121e+00	9.764e-01	1.343e+00	1.194e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.610e+04	1.126e+00	9.776e-01	1.346e+00	1.194e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.620e+04	1.126e+00	9.776e-01	1.346e+00	1.194e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.630e+04	1.126e+00	9.776e-01	1.346e+00	1.199e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.640e+04	1.126e+00	9.776e-01	1.346e+00	1.199e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.650e+04	1.126e+00	9.776e-01	1.346e+00	1.199e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.660e+04	1.126e+00	9.776e-01	1.346e+00	1.199e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.670e+04	1.126e+00	9.776e-01	1.346e+00	1.199e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.680e+04	1.126e+00	9.776e-01	1.346e+00	1.199e+00	1.044e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.690e+04	1.126e+00	9.776e-01	1.346e+00	1.199e+00	1.058e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.700e+04	1.126e+00	9.776e-01	1.346e+00	1.199e+00	1.058e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.710e+04	1.126e+00	9.776e-01	1.346e+00	1.209e+00	1.058e+00	1.398e+00	6.990e-01	6.695e-01	8.113e-01
1.720e+04	1.126e+00	9.776e-01	1.346e+00	1.209e+00	1.058e+00	1.398e+00	7.128e-01	6.695e-01	8.449e-01
